,0,1
0,232344069,27553029
1,3881097,232457116
2,232051089,232470704
3,230473487,7089694
4,231182296,14660781
5,43358239,230528714
6,5488136,27553759
7,231181128,232453404
8,230423018,232392936
9,89273,3906238
10,230973596,232455956
11,230423318,230423018
12,232453639,232453630
13,89273,51860219
14,1913117,232909272
15,206222134,192431356
16,230432611,230966618
17,89273,230512979
18,230918484,40297647
19,230447404,3877919
20,231995264,232468876
21,232440027,232448376
22,230449513,230449518
23,232457903,11011839
24,230391412,232029206
25,89273,230465219
26,230452144,2706899
27,230681119,232472581
28,89273,232916687
29,232440137,230639246
30,89273,232440137
31,230521269,230521266
32,232047899,232438397
33,230597986,3878899
34,230437630,230649117
35,1913117,233227310
36,232361296,232361286
37,231996124,230473483
38,230523211,230523207
39,232035051,232036661
40,5662056,230522934
41,40623301,2920819
42,230528722,230528710
43,3875116,230520120
44,232446225,182442258
45,232037400,232037399
46,14942862,195237909
47,232392936,232392931
48,3876606,232460526
49,232431910,2758467
50,232034284,198358107
51,230470029,230470027
52,230438482,230438479
53,89273,5197391
54,230411274,195237909
55,230331387,231993291
56,232440020,232440017
57,230465231,5530776
58,3891191,3851887
59,226890719,230540196
60,232349072,20299716
61,214488573,230473461
62,86353799,232472561
63,3114489,107227719
64,230451739,230451730
65,13285375,230528710
66,230457093,230457090
67,1913117,233842379
68,232448785,232448783
69,230438482,232440028
70,3877118,232438397
71,89273,230872133
72,232039890,232039888
73,89273,230453424
74,232047414,232047419
75,230339477,232039381
76,2718195,2865010
77,7089694,60492027
78,230473314,230523246
79,89273,230457870
80,232679753,231573972
81,232959353,230579331
82,231995683,230473477
83,206225929,11340045
84,230438474,230438471
85,230468042,230468036
86,231995763,230473483
87,230596505,31188978
88,59397801,230555921
89,232072340,230405994
90,91411167,232029206
91,232457915,232457913
92,232901095,57801713
93,232039861,230468700
94,3408976,232047756
95,232034707,71724941
96,230453424,2717498
97,230969607,230968958
98,89273,232941800
99,232906716,232448383
100,71369016,230649126
101,89273,84863672
102,3402165,232456339
103,232034945,230438483
104,14660781,217239370
105,232058910,232456882
106,230530295,232467632
107,230645830,231036638
108,195498536,232448783
109,89273,231036727
110,89273,230446342
111,230473481,230473461
112,3881866,232458909
113,89273,230446331
114,230338249,230436750
115,3378829,230442067
116,232459969,54732579
117,232453418,231836233
118,230452750,232429322
119,230439297,232392089
120,232468004,182448481
121,232440111,232444502
122,73191409,3740213
123,89273,230421654
124,89273,230412050
125,232959352,230579331
126,232462281,232462210
127,230432972,232043907
128,232051671,232051667
129,232438397,92491280
130,230461379,3880117
131,89273,230447409
132,230345455,232354183
133,89273,230424162
134,232002739,230569372
135,230519614,230519610
136,231993125,230444451
137,232354200,230451735
138,89273,230468417
139,234074001,232383230
140,230339760,232014505
141,230473471,230473461
142,232047756,232031839
143,232458515,234472313
144,232037399,230437633
145,2855928,151078127
146,212359535,183140871
147,230437638,230437634
148,3420566,3877087
149,230438487,230438486
150,230456729,230578985
151,230468057,3882798
152,230473317,232907285
153,230451734,230451730
154,28798027,230528725
155,89273,15087677
156,89273,230469660
157,3407031,230527751
158,231995671,230473477
159,3403763,232351322
160,230539741,231993291
161,231188282,151359615
162,230448375,230456710
163,89273,232444499
164,230527759,230527756
165,230339493,232034950
166,230538139,230552370
167,230336050,230601403
168,231182296,231193137
169,230456717,232438397
170,232464796,54735205
171,230465376,230465367
172,232669764,232034952
173,12946183,232383230
174,232027351,75600727
175,7089453,230523196
176,7089467,7089453
177,3775711,3757070
178,89273,230466907
179,89273,27527984
180,1913117,231590190
181,230354384,230473578
182,231996116,230473483
183,232465856,230521269
184,230456385,230456384
185,232350655,232046855
186,3912534,230527759
187,230448391,3916897
188,1913117,2717498
189,230464776,230464771
190,230461031,230461033
191,230456719,232438397
192,89273,230524982
193,232895871,232465856
194,232006979,24673782
195,232431929,2758467
196,3878647,3846528
197,232346257,232029206
198,232457186,50033867
199,232448385,232472201
200,232051527,37231293
201,230599592,232054853
202,89273,230470039
203,230578937,2758467
204,230326373,230442067
205,232035283,232035280
206,230595710,232348091
207,230588414,230473600
208,230649655,230649652
209,36787463,230473483
210,232644856,230391412
211,7529721,230473481
212,230520418,54734928
213,92491279,232401511
214,3925879,3881050
215,231998131,230770487
216,230339481,232034946
217,89273,230531648
218,89273,32879801
219,230389794,230389787
220,7757447,230901075
221,230527319,3913226
222,230412485,3849610
223,54732017,230528723
224,230391411,230456623
225,232909664,232909676
226,230437638,232908760
227,231996121,230473483
228,89273,230470037
229,232009711,232469446
230,232444878,3318945
231,230406766,2881274
232,231995755,230473483
233,230406766,230577403
234,10734050,232349072
235,230456718,230456714
236,232042969,3880653
237,230966747,234458119
238,230531168,232386556
239,231993291,230444452
240,232360625,230639670
241,230433276,232047924
242,3881912,232460292
243,230438870,3876550
244,3740213,2881273
245,232351322,232038325
246,231994045,232034651
247,89273,230552326
248,89273,231034733
249,231180580,231180581
250,231177403,2758467
251,218531044,226889376
252,89273,232054853
253,89273,231026136
254,230647313,232443618
255,230456618,230531645
256,232034950,230464782
257,231996118,230473483
258,89273,32120805
259,7398153,14307861
260,231241751,230523204
261,1913117,232457891
262,231995676,230473477
263,230438474,232444501
264,230527771,230527765
265,89273,2718195
266,3878899,3875041
267,232353289,232914298
268,230437634,232439984
269,230331217,232339043
270,232432879,2880930
271,36419682,230529042
272,230336686,2813778
273,232472206,232472208
274,230411642,232029206
275,232350958,232351007
276,1913117,232461949
277,89273,2706899
278,232351007,34984461
279,232014220,232029206
280,3878718,232438397
281,230436739,232437491
282,230326754,230569377
283,230527184,11256536
284,230414055,212687404
285,87823623,21696830
286,89273,230456625
287,95764515,234029888
288,229695175,230473477
289,230456710,2880930
290,3878618,3878633
291,230969607,234457549
292,226889376,195237909
293,230473598,59397801
294,141327911,230473483
295,232440023,230680289
296,230473314,230579322
297,232440028,232440024
298,230438476,232906649
299,230438476,232440104
300,232037400,230438468
301,230530336,2881273
302,230529053,230529048
303,232031824,53678687
304,232034949,230464782
305,232464260,54732833
306,89273,230969390
307,232002810,232002739
308,5043402,198640224
309,230537134,230670897
310,230595336,232037044
311,3391129,230442067
312,45874911,230473483
